"","deptWork","deptSpeak","fedUse","noUseBenefit","noUseAccess","noUseCity","noUsePurchase","noUseOther","noUseOtherText","useDemo","useEcon","useEnv","useEdu","useHealth","useHouse","useCrim","useSci","useReg","useTranspo","useLegal","useCaFi","useElec","useLeg","otherDataText","geoState","geoCounty","geoCountySub","geoCBSA","geoTract","geoBlockGroup","geoBlock","geoAll","geoNA","doTrack","doID","doBudget","doInform","doPredict","doReg","doOther","otherDoText","import","startUse","pastChg","lessFreq","lessQuality","lessAccess","lessUse","lessOther","lessOtherText","lessReplace","futureChg","fLessFreq","flessQual","fLessAccess","fLessUse","fLessOther","fLessOtherText","fLessReplace","freq","access","easeUse","accuracy","futureFreq","futureAccess","futureUse","futureAccuracy","mena","hispanic","lostAccess","lostData","lossImpact","wishData","wishListData","dataLabor","dataDOJ","dataDOT","dataCensus","dataDOI","dataHHS","dataDOE","dataEPA","dataHUD","dataUSDA","dataFDIC","dataFHFA","dataIRS","dataCFPB","dataOther","howAccess","deptSpeakGroup","deptWorkGroup","cityID"
"11","office of data and analytics","multiple","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","","Housing","","","","Transportation","","","Electoral","","","","","","","","Census Block Groups","Census Blocks","","","","","","Inform policy decisions","Create predictive models","","Other - Write In (Required)","neighborhood indicators","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Acceptable","About the same","About the same","About the same","About the same","Not at all valuable","Slightly valuable","No","","government shutdown","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","multiple","innovation/analytics",584
"12","mayor's office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","Regulatory enforcement","","","Very important","3 to 5 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Easy","Acceptable","Much worse","Much worse","Much worse","Much worse","Moderately valuable",NA,"No","","Less effective local government.","No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","mayor's office",505
"13","executive","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","","","","","Transportation","","","","","","","County","County Subdivision","","","","Census Blocks","","","Track city or department performance","","","Inform policy decisions","","","","","Very important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Difficult","Neutral","Acceptable","Somewhat worse","Somewhat worse","About the same","About the same","Not at all valuable","Very valuable","No","","We would lose our ability to make evidence-based decisions about some areas of policy and performance.","Yes","Migration between census tracts. (Data might exist, but we don't yet know how to reach it.)","Department of Labor ","","","Census Bureau ","","","","","","",NA,"","","","","Downloading a data file","citywide","mayor's office",850
"14","city manager's office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","","Housing","Criminal Justice","Scientific","Regulatory","Transportation","","","","Legislative","","State","County","County Subdivision","","","","","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","Regulatory enforcement","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Acceptable","Much better","Much better","Much better","Much better","Slightly valuable",NA,"No","","Unreliable statistical data","Yes","National City Comparisons of Core Operational Functions","Department of Labor ","Department of Justice ","","","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","citywide","city manager office",157
"15","neighborhoods and housing","neighborhoods and housing","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","","Housing","","","Regulatory","Transportation","","","","","","","County","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Difficult","Neutral","Good","Somewhat worse","Somewhat worse","About the same","Somewhat worse","Moderately valuable","Very valuable","No","","poorer decision making, tracking of results, and less specific response strategies","Yes","unknown at this time","","","","Census Bureau ","","","","Environmental Protection Agency ","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","housing","housing",259
"16","legislative","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","Health","Housing","","","Regulatory","","Legal","","","Legislative","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Neutral","Difficult","Acceptable","Somewhat worse","Much worse","Somewhat worse","Somewhat worse",NA,NA,"No","","Inability to make best decisions for allocation of resources","No","","","","","Census Bureau ","","Department of Health and Human Services ","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","legislative",120
"17","city clerk","city clerk","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","","","","","","","","Electoral","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","","","","","Create predictive models","","","","Important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Acceptable","About the same","About the same","About the same","About the same","Moderately valuable","Very valuable","No","","We use federal data as part of our redistricting process so the loss would be significant.","No","","","","","Census Bureau ","Department of the Interior ","","","","","",NA,"","","","","Downloading a data file","administration","it/gis",981
"18","civic innovation","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","Scientific","Regulatory","Transportation","","","Electoral","Legislative","FCC","","","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","Regulatory enforcement","Other - Write In (Required)","vendor negotiations","Very important","5 to 10 years ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Good","Somewhat better","Somewhat worse","Somewhat better","Somewhat better",NA,NA,"No","","Inability to make key decisions on where to focus energy and money to improve the lives of citizens.","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","","",NA,"","","","Other - Write In ","Downloading a data file","citywide","innovation/analytics",150
"19","public housing","housing","Yes",NA,NA,"","",NA,NA,"","","Environmental","","","Housing","","","Regulatory","","","","","","","","","","","Census Tracts","","","","","","Identify local issues","","","","","","","Fairly important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","About the same","About the same","About the same","About the same",NA,NA,"No","","Not any impact","No","","","","","","","","","","Department of Housing and Urban Development ","",NA,"","","","","Downloading a data file","housing","housing",981
"20","administration","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","","","","","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","Create predictive models","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Good","About the same","About the same","About the same","About the same","Moderately valuable",NA,"No","","We are using this in a variety of ways to predict health, tax revenues, modeling for blight, and so on...","No","","","","","Census Bureau ","","","","Environmental Protection Agency ","","",NA,"Federal Housing Finance Agency ","","","","An online tool ","citywide","administration",716
"21","city manager'a office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","Criminal Justice","","","Transportation","","","","","","","","","","","","","","Not applicable","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Fairly important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Difficult","Difficult","Good","Somewhat better","Somewhat better","Somewhat better","About the same","Moderately valuable","Very valuable","No","","less responsive services","No","","","Department of Justice ","","","Department of the Interior ","","","","Department of Housing and Urban Development ","",NA,"","","","","A text report","citywide","city manager office",981
"22","public facilities, recreation & special events","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","","","","","","","","","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","Create predictive models","","","","Slightly important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Very easy","Very easy","Very Good","About the same","Much better","Much better","Much better","Not at all valuable","Not at all valuable","No","","We would have to pay for the data.","No","","","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","it/gis",981
"23","fire","fire","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","","","","","","","","","","","County","County Subdivision","","Census Tracts","Census Block Groups","","","","Track city or department performance","Identify local issues","Make budgeting decisions","","Create predictive models","","","","Very important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Acceptable","About the same","About the same","About the same","About the same","Not at all valuable","Moderately valuable","No","","Inability to identify demographic characteristics, population density, socioeconomic distribution, etc. in the community.  This has bearing on resource distribution and risk assessment.","No","","Department of Labor ","","","Census Bureau ","","Department of Health and Human Services ","","","","",NA,"","","","","An online tool ","emergency services","emergency services",981
"24","police department","police department","Yes",NA,NA,"","",NA,NA,"","","","","","Housing","","","","Transportation","","","","","","State","County","","","Census Tracts","Census Block Groups","","","","","","","","Create predictive models","","","","Fairly important","1 to 3 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Good","About the same","Somewhat better","Somewhat better","Somewhat better","Not at all valuable","Not at all valuable","No","","Minimal impact in predictive models","No","","","Department of Justice ","","Census Bureau ","","Department of Health and Human Services ","","","","",NA,"","","","","Downloading a data file","emergency services","emergency services",981
"25","mayor's office","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","Education","Health","Housing","Criminal Justice","Scientific","","","","","Electoral","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Good","Somewhat worse","Much worse","Somewhat worse","Much worse","Slightly valuable","Slightly valuable","No","","We would not be able to serve citizens as well in a data informed way.","No","","","Department of Justice ","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","mayor's office",505
"26","public works","public works","No",NA,NA,"We use data produced by our city instead.","",NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,"About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Very difficult","Neutral","Acceptable","About the same","About the same","About the same","About the same",NA,NA,"","","nothing","No","","","","","","","","","","","",NA,"","","","","","public works","public works",711
"27","knowledge department","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","","Criminal Justice","Scientific","","","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","","Inform policy decisions","","","","","Important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Much worse","Much worse","About the same","Somewhat worse","Moderately valuable","Very valuable","No","","Not sure","No","","","Department of Justice ","","Census Bureau ","Department of the Interior ","","","","","",NA,"","","","","An online tool ","citywide","innovation/analytics",716
"28","innovation and technology","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","Housing","Criminal Justice","","","Transportation","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","3 to 5 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Easy","Acceptable","Somewhat better","Somewhat better","Somewhat better","About the same","Slightly valuable","Slightly valuable","No","","Reduced ability to benchmark and measure the impacts of policy changes","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","innovation/analytics",172
"29","fire","fire","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","Health","Housing","","","","Transportation","","","","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","","Identify local issues","Make budgeting decisions","","Create predictive models","","","","Very important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Acceptable","Somewhat better","Much better","Somewhat better","About the same","Moderately valuable","Moderately valuable","No","","Less informed decisions being made which will result in lower quality of service delivery based on not knowing all of the factors facing a community.","Yes","many data sets are only available at the county level.  To be useful, we need granular data that can be compared period to period.  Census data tracts and block change census to census.  Would be great if the data could be reported in something standard such as USNG grid at the appropiate level to maintain privacy.","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","emergency services","emergency services",711
"30","city manager's office","city manager's office","Yes",NA,NA,"","",NA,NA,"Demographic","","","","Health","Housing","Criminal Justice","","Regulatory","Transportation","","","","Legislative","","","","County Subdivision","","Census Tracts","Census Block Groups","","","","Track city or department performance","Identify local issues","","","","","","","Fairly important","5 to 10 years ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Neutral","Acceptable","Somewhat worse","Somewhat worse","Somewhat worse","About the same",NA,NA,"No","","Census data, BLS data, flood maps ","No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","city manager's office","city manager office",202
"31","health department","health department","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","","Scientific","Regulatory","Transportation","","","","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","Regulatory enforcement","","","Very important","More than a decade ago","A lot more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Easy","Easy","Good","About the same","Somewhat worse","About the same","Somewhat worse","Moderately valuable",NA,"No","","Most of Public Health data relies on federal data. Our core function would be affected by it.  for example, if we dont have air quality data, we cant advise our residents about potential pollution issues etc. ","No","","","","","Census Bureau ","","Department of Health and Human Services ","","Environmental Protection Agency ","","",NA,"","","","","An online tool ","health department","health",665
"32","mayor's office","citywide","Yes",NA,NA,"","",NA,NA,"","Economic","","","","Housing","Criminal Justice","","Regulatory","Transportation","Legal","","","","","State","","","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","Make budgeting decisions","Inform policy decisions","Create predictive models","","","","Fairly important","3 to 5 years ago","About the same",NA,NA,"",NA,NA,NA,"","Slightly less",NA,NA,NA,NA,"Other - Write In (Required)","Expect there will be less of it","Replace federal data with data collected by your city","Too infrequent","Difficult","Easy","Good","Much worse","Much worse","Much worse","Much worse","Moderately valuable","Moderately valuable","No","","Less informed policy and budget decisions","No","","","Department of Justice ","Department of Transportation ","Census Bureau ","","","","","","",NA,"","","","","Downloading a data file","citywide","mayor's office",206
"33","city manager","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","Criminal Justice","","","","","","","","","","","County Subdivision","","Census Tracts","","","","","Track city or department performance","Identify local issues","","Inform policy decisions","Create predictive models","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Too infrequent","Difficult","Difficult","Acceptable","Much worse","Somewhat worse","About the same","About the same","Moderately valuable","Moderately valuable","No","","No longer able to provide economic, housing and demographic information on our community. We might have to contact separately and additional cost to gain similar information.","No","","Department of Labor ","Department of Justice ","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","city manager office",222
"34","it/gis","comm dev/human services/neighborhood services","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","Education","","Housing","","","","","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Very important","5 to 10 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Acceptable","Somewhat worse","Much worse","About the same","Somewhat worse","Very valuable","Very valuable","No","","Census demographic data is a pretty important part of looking at issues in the City. Losing access to this would make it very challenging to understand how the city is changing","No","","","","","Census Bureau ","","Department of Health and Human Services ","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","comm dev/human services/neighborhood services","it/gis",141
"35","community development & planning","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","","","Housing","","","Regulatory","Transportation","","","","Legislative","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","Inform policy decisions","","","","","Important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Just right","Difficult","Neutral","Acceptable","Somewhat worse","About the same","About the same","About the same","Slightly valuable","Very valuable","No","","Unable to provide a complete ""picture"" of what's going on.","No","","Department of Labor ","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","planning/development",375
"36","budget and performance management","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","Environmental","Education","Health","Housing","Criminal Justice","","","Transportation","","","Electoral","","","State","County","County Subdivision","Core-based Statistical Area (CBSA)","Census Tracts","Census Block Groups","Census Blocks","All of the above","","Track city or department performance","Identify local issues","","","Create predictive models","","","","Important","1 to 3 years ago","Slightly more",NA,NA,"",NA,NA,NA,"","Slightly more",NA,NA,NA,NA,"","","","Just right","Easy","Easy","Good","Somewhat better","Much better","Much better","Somewhat better","Very valuable","Very valuable","No","","The most likely impact is we wouldn't be able to pinpoint as easily what part of the population has a certain problem that needs to be solved.","No","","","","","Census Bureau ","","","","","","",NA,"","","","","An online tool ","citywide","finance",617
"37","communications","citywide","Yes",NA,NA,"","",NA,NA,"Demographic","Economic","","","","Housing","","","","","","","","","","","","","","Census Tracts","Census Block Groups","Census Blocks","","","","Identify local issues","Make budgeting decisions","Inform policy decisions","","","","","Very important","More than a decade ago","Slightly more",NA,NA,"",NA,NA,NA,"","A lot more",NA,NA,NA,NA,"","","","Too infrequent","Neutral","Neutral","Acceptable","Somewhat better","Somewhat better","Somewhat better","Somewhat better","Moderately valuable",NA,"No","","We would be unable to complete our required planning documents for HUD funding.","No","","","","","Census Bureau ","","","","","Department of Housing and Urban Development ","",NA,"","","","","An online tool ","citywide","communications",903
"38","engineering","engineering","Yes",NA,NA,"","",NA,NA,"Demographic","","Environmental","","","","","Scientific","Regulatory","Transportation","","","","Legislative","","","","County Subdivision","","Census Tracts","Census Block Groups","Census Blocks","","","","","","Inform policy decisions","Create predictive models","Regulatory enforcement","","","Important","More than a decade ago","About the same",NA,NA,"",NA,NA,NA,"","About the same",NA,NA,NA,NA,"","","","Just right","Neutral","Neutral","Good","About the same","About the same","About the same","About the same","Not at all valuable","Not at all valuable","No","","unknown","No","","","","Department of Transportation ","","","","","","","",NA,"","","","","A text report","public works","public works",903
