Variable,Type,Question
dataFHFA,indicator,Federal Housing Finance Agency. What federal agencies does your department rely on most for data? Please pick up to three.
dataIRS,indicator,Internal Revenue Service. What federal agencies does your department rely on most for data? Please pick up to three.
dataCFPB,indicator,Consumer Finance and Protection Bureau. What federal agencies does your department rely on most for data? Please pick up to three.
dataLabor,indicator,Department of Labor. What federal agencies does your department rely on most for data? Please pick up to three.
dataOther,indicator,Other. What federal agencies does your department rely on most for data? Please pick up to three.
otherDataText,character,Other text answer. What federal agencies does your department rely on most for data? Please pick up to three.
howAccess,"[A text report, Downloading a data file, An online tool, API]",How does your department typically access federal data?
geoState,indicator,"State. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoCounty,indicator,"County. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoCountySub,indicator,"Subcounty divisions. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoCBSA,indicator,"Core-based Statistical Area (CBSA). If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoTract,indicator,"Census tract. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoBlockGroup,indicator,"Census block group. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoBlock,indicator,"Census block. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoAll,indicator,"All. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
geoNA,indicator,"Not applicable. If your department uses geographic data, what levels of geography do you look at? Select all that apply."
doTrack,indicator,Track city or department performance. How does your department use federal data? Select all that apply.
doID,indicator,Identify local issues. How does your department use federal data? Select all that apply.
doBudget,indicator,Make budgeting decisions. How does your department use federal data? Select all that apply.
doInform,indicator,Inform policy decisions. How does your department use federal data? Select all that apply.
doPredict,indicator,Create predictive models. How does your department use federal data? Select all that apply.
doReg,indicator,Regulatory enforcement. How does your department use federal data? Select all that apply.
doOther,indicator,Other. How does your department use federal data? Select all that apply.
otherDoText,character,Other text response. How does your department use federal data? Select all that apply.
import,"[Not important, Slightly important, Fairly important, Important, Very important]",How important is federal data to your department's mission?
startUse,"[Less than a year ago, 1 to 3 years ago, 3 to 5 years ago, 5 to 10 years ago, More than a decade ago]",When did your department start using federal data?
pastChg,"[A lot less, Slightly less, About the same, Slightly more, A lot more]",Does your department use more or less federal data today than 5 years ago?
lessFreq,indicator,Federal data is not updated often enough. Why does your department use less federal data today than it did 5 years ago? Select all that apply.
lessQuality,indicator,The quality of federal data is not good enough. Why does your department use less federal data today than it did 5 years ago? Select all that apply.
lessAccess,indicator,Federal data is too difficult to access or use. Why does your department use less federal data today than it did 5 years ago? Select all that apply.
lessUse,indicator,Federal data is not useful to our department. Why does your department use less federal data today than it did 5 years ago? Select all that apply.
lessOther,indicator,Other. Why does your department use less federal data today than it did 5 years ago? Select all that apply.
lessOtherText,character,Other text response. Why does your department use less federal data today than it did 5 years ago? Select all that apply.
lessReplace,"[Replace federal data with data collected by your city, Replace federal data with data we purchase, No replacement for federal data currently used]",Since reducing use of federal data has your department predominantly:
futureChg,"[A lot less, Slightly less, About the same, Slightly more, A lot more]",Do you anticipate your department using more or less federal data 5 years ago?
fLessFreq,indicator,Federal data is not updated often enough. Why does your department plan to use less federal data over the next 5 years? Select all that apply.
flessQual,indicator,The quality of federal data is not good enough. Why does your department plan to use less federal data over the next 5 years? Select all that apply.
fLessAccess,indicator,Federal data is too difficult to access or use. Why does your department plan to use less federal data over the next 5 years? Select all that apply.
fLessUse,indicator,Federal data is not useful to our department. Why does your department plan to use less federal data over the next 5 years? Select all that apply.
fLessOther,indicator,Other. Why does your department plan to use less federal data over the next 5 years? Select all that apply.
fLessOtherText,character,Other text response. Why does your department plan to use less federal data over the next 5 years? Select all that apply.
fLessReplace,"[Replace federal data with data collected by your city, Replace federal data with data we purchase, No replacement for federal data currently used]",Since reducing use of federal data has your department predominantly:
freq,"[Too infrequent, Just right, Too frequent]",How would you describe the publishing schedule of federal data?
access,"[Very difficult, Difficult, Neutral, Easy, Very easy]",How easy it is to find and access federal data?
easeUse,"[Very difficult, Difficult, Neutral, Easy, Very easy]","How easy is it to use federal data? Please consider documentation, data standards, and any data cleaning that is required."
accuracy,"[Very Poor, Poor, Acceptable, Good, Very Good]",How would you rate the accuracy of federal data?
futureFreq,"[Much worse, Somewhat worse, About the same, Somewhat better, Much better]",How do you expect the frequency of federal data to change in the next 5 years?
futureAccess,"[Much worse, Somewhat worse, About the same, Somewhat better, Much better]",How do you expect the access to federal data to change in the next 5 years?
futureUse,"[Much worse, Somewhat worse, About the same, Somewhat better, Much better]",How do you expect the ease of use of federal data to change in the next 5 years?
futureAccuracy,"[Much worse, Somewhat worse, About the same, Somewhat better, Much better]",How do you expect the accuracy of federal data to change in the next 5 years?
mena,"[Not at all valuable, Slightly valuable, Moderately valuable, Very valuable, Extremely valuably]",Please indicate how valuable the addition to Middle Eastern and North African to the Census race question would be to your department.
hispanic,"[Not at all valuable, Slightly valuable, Moderately valuable, Very valuable, Extremely valuably]","Please indicate how valuable the addition to Hispanic, Latino, or Spanish origin (instead of a separate ethnicity question) to the Census race question would be to your department."
lostAccess,"[yes, no]",Has your department lost access to any federal data since January?
lostData,character,What data has your department lost access to?
lossImpact,character,What would be the most likely impact of the loss of federal data on your city and its residents?
wishData,"[yes, no]",Is there any federal data your department would like but do not have access to?
wishListData,character,What federal data would you like but don’t currently have access to?
